Key,Localized_vn,Localized_en,Localized_indo
product_carrot_pie_description,Được chế biến từ Máy Nướng Bánh,Produce in Pie Oven,Dibuat di Pemanggang Roti
product_bacon_pie_description,Được chế biến từ Máy Nướng Bánh,Produce in Pie Oven,Dibuat di Pemanggang Roti
product_apple_pie_description,Được chế biến từ Máy Nướng Bánh,Produce in Pie Oven,Dibuat di Pemanggang Roti
product_feta_pie_description,Được chế biến từ Máy Nướng Bánh,Produce in Pie Oven,Dibuat di Pemanggang Roti
product_casserole_description,Được chế biến từ Máy Nướng Bánh,Produce in Pie Oven,Dibuat di Pemanggang Roti
product_shepherds_pie_description,Được chế biến từ Máy Nướng Bánh,Produce in Pie Oven,Dibuat di Pemanggang Roti
product_sweater_description,Được sản xuất từ Máy Dệt,Produce in Loom,Dibuat di Mesin Tenun
product_blue_woolly_hat_description,Được sản xuất từ Máy Dệt,Produce in Loom,Dibuat di Mesin Tenun
product_blue_sweater_description,Được sản xuất từ Máy Dệt,Produce in Loom,Dibuat di Mesin Tenun
product_carrot_cake_description,Được chế biến từ Máy Bánh Kem,Produce in Cake Oven,Dibuat di Mesin Kue Es Krim
product_cream_cake_description,Được chế biến từ Máy Bánh Kem,Produce in Cake Oven,Dibuat di Mesin Kue Es Krim
product_red_berry_cake_description,Được chế biến từ Máy Bánh Kem,Produce in Cake Oven,Dibuat di Mesin Kue Es Krim
product_cheese_cake_description,Được chế biến từ Máy Bánh Kem,Produce in Cake Oven,Dibuat di Mesin Kue Es Krim
product_strawberry_cake_description,Được chế biến từ Máy Bánh Kem,Produce in Cake Oven,Dibuat di Mesin Kue Es Krim
product_chocolate_cake_description,Được chế biến từ Máy Bánh Kem,Produce in Cake Oven,Dibuat di Mesin Kue Es Krim
product_potato_feta_cake_description,Được chế biến từ Máy Bánh Kem,Produce in Cake Oven,Dibuat di Mesin Kue Es Krim
metal_silver_bar_description,Được sản xuất từ Lò Nung,Produce in Smelter,Dibuat di oven
metal_gold_bar_description,Được sản xuất từ Lò Nung,Produce in Smelter,Dibuat di Peleburan batu adi
metal_platinum_bar_description,Được sản xuất từ Lò Nung,Produce in Smelter,Dibuat di Peleburan batu adi
product_apple_juice_description,Được chế biến từ Máy Ép Nước Quả,Produce in Juice Press,Dibuat di mesin jus
product_carrot_juice_description,Được chế biến từ Máy Ép Trái Cây,Produce in Juice Press,Dibuat di mesin jus
product_tomato_juice_description,Được chế biến từ Máy Ép Trái Cây,Produce in Juice Press,Dibuat di mesin jus
product_cherry_juice_description,Được chế biến từ Máy Ép Trái Cây,Produce in Juice Press,Dibuat di mesin jus
product_berry_juice_description,Được chế biến từ Máy Ép Trái Cây,Produce in Juice Press,Dibuat di mesin jus
product_vanilla_ice_cream_description,Được chế biến từ Máy Làm Kem,Produce in Icecream Maker,Dibuat di mesin Es krim
product_cherry_popsicle_description,Được chế biến từ Máy Làm Kem,Produce in Icecream Maker,Dibuat di mesin Es Krim
product_strawberry_ice_cream_description,Được chế biến từ Máy Làm Kem,Produce in Icecream Maker,Dibuat di mesin Es Krim
product_chocolate_ice_cream_description,Được chế biến từ Máy Làm Kem,Produce in Icecream Maker,Dibuat di mesin Es krim
product_apple_jam_description,Được chế biến từ Máy Làm Mứt,Produce in Jam Maker,Dibuat di mesin manisan
product_blackberry_jam_description,Được chế biến từ Máy Làm Mứt,Produce in Jam Maker,Dibuat di mesin manisan
product_cherry_jam_description,Được chế biến từ Máy Làm Mứt,Produce in Jam Maker,Dibuat di mesin manisan
product_raspberry_jam_description,Được chế biến từ Máy Làm Mứt,Produce in Jam Maker,Dibuat di mesin manisan
jewel_bracelet_description,Được sản xuất từ Xưởng Chế Tác,Produce in Jeweler,Dibuat di bengkel prosesing batu adi
jewel_necklace_description,Được sản xuất từ Xưởng Chế Tác,Produce in Jeweler,Dibuat di bengkel prosesing batu adi
jewel_diamond_ring_description,Được sản xuất từ Xưởng Chế Tác,Produce in Jeweler,Dibuat di bengkel prosesing batu adi
product_espresso_description,Được chế biến từ Quán Cà Phê,Produce in Coffee Kiosk,Dibuat di warkop
product_cafe_latte_description,Được chế biến từ Quán Cà Phê,Produce in Coffee Kiosk,Dibuat di warkop
product_cafe_mocha_description,Được chế biến từ Quán Cà Phê,Produce in Coffee Kiosk,Dibuat di warkop
product_hot_chocolate_description,Được chế biến từ Quán Cà Phê,Produce in Coffee Kiosk,Dibuat di warkop
product_raspberry_mocha_description,Được chế biến từ Quán Cà Phê,Produce in Coffee Kiosk,Dibuat di warkop
product_toffee_description,Được chế biến từ Máy Làm Kẹo,Produce in Candy Machine,Dibuat di mesin permen
product_caramel_apple_description,Được chế biến từ Máy Làm Kẹo,Produce in Candy Machine,Dibuat di mesin permen
product_jelly_beans_description,Được chế biến từ Máy Làm Kẹo,Produce in Candy Machine,Dibuat di mesin permen
product_lollipop_description,Được chế biến từ Máy Làm Kẹo,Produce in Candy Machine,Dibuat di mesin permen
product_chocolate_description,Được chế biến từ Máy Làm Kẹo,Produce in Candy Machine,Dibuat di mesin permen
tool_dynamite_description,Dùng để dọn đá nhỏ,Use to destroy small rocks,Digunakan untuk membersihkan batu kerikil
tool_demolition_charge_description,Dùng để dọn đá tảng,Use to destroy large rocks,Digunakan untuk membersihkan batu besar
tool_axe_description,Dùng để chặt cây nhỏ,Use to chop down small trees,Digunakan untuk menebang pohon kecil
tool_saw_description,Dùng để cưa cây to,Use to chop down large trees,Digunakan untuk menggergaji pohon besar
tool_shovel_description,Dùng để dọn vũng nước đọng,Use to remove bogs,Digunakan untuk membersihkan kubangan air
tool_nail_description,Để nâng cấp Kho lương thực,Use to upgrade Silo,Untuk mengupgrade gudang pangan
tool_screw_description,Để nâng cấp Kho lương thực,Use to upgrade Silo,Untuk mengupgrade gudang pangan
tool_woodPanel_description,Để nâng cấp Kho lương thực,Use to upgrade Silo,Untuk mengupgrade gudang pangan
tool_bolt_description,Để nâng cấp Nhà kho,Use to upgrade Barn,Untuk mengupgrade gudang
tool_plank_description,Để nâng cấp nhà kho,Use to upgrade Barn,Untuk mengupgrade gudang
tool_ductTape_description,Để nâng cấp nhà kho,Use to upgrade Barn,Untuk mengupgrade gudang
tool_land_deed_description,Để mở rộng đất,Use to expand your Farm,Untuk memperluas tanah
tool_mallet_description,Để mở rộng đất,Use to expand your Farm,Untuk memperluas tanah
tool_marker_stake_description,Để mở rộng đất,Use to expand your Farm,Untuk memperluas tanah
crop_wheat_description,Thu hoạch sau,Harvest in,memanen nanti
crop_corn_description,Thu hoạch sau,Harvest in,memanen nanti
crop_carrot_description,Thu hoạch sau,Harvest in,memanen nanti
crop_soybean_description,Thu hoạch sau,Harvest in,memanen nanti
crop_sugarcane_description,Thu hoạch sau,Harvest in,memanen nanti
crop_lavender_description,Thu hoạch sau,Harvest in,memanen nanti
crop_indigo_description,Thu hoạch sau,Harvest in,memanen nanti
crop_pumpkin_description,Thu hoạch sau,Harvest in,memanen nanti
crop_chili_description,Thu hoạch sau,Harvest in,memanen nanti
crop_chili_pepper_description,Thu hoạch sau,Harvest in,memanen nanti
crop_tomato_description,Thu hoạch sau,Harvest in,memanen nanti
crop_potato_description,Thu hoạch sau,Harvest in,memanen nanti
crop_strawberry_description,Thu hoạch sau,Harvest in,memanen nanti
ore_gold_name,Vàng vụn,Gold ore,bijih emas
ore_platinum_name,Bạch kim vụn,Platium ore,bijih platinum
ore_silver_name,Bạc vụn,Silver ore,bijih perak
ore_gold_description,Có được từ Hầm mỏ,Collect from mine,Diperoleh dari tambang
ore_platinum_description,Có được từ Hầm mỏ,Collect from mine,Diperoleh dari tambang
ore_silver_description,Có dược từ Hầm mỏ,Collect from mine,Diperoleh dari tambang
crop_rice_description,Thu hoạch sau,Harvest in,Memanen dalam
crop_lettuce_description,Thu hoạch sau,Harvest in,Memanen dalam
product_tomato_soup_description,Được chế biến từ Lò súp
product_fish_soup_description,Được chế biến từ Lò súp
product_lobster_soup_description,Được chế biến từ Lò súp
product_soy_sauce_description,Được chế biến từ Máy nước sốt
product_olive_oil_description,Được chế biến từ Máy nước sốt
product_mayonnaise_description,Được chế biến từ Máy nước sốt
product_sushi_roll_description,Được chế biến từ Tiệm sushi
product_lobster_sushi_description,Được chế biến từ Tiệm sushi
product_egg_sushi_description,Được chế biến từ Tiệm sushi
product_feta_salad_description,Được chế biến từ Tiệm salad
product_blt_salad_description,Được chế biến từ Tiệm salad
product_seafood_salad_description,Được chế biến từ Tiệm salad
product_blt_toast_description,Được chế biến từ Tiệm bánh kẹp
product_veggie_bagel_description,Được chế biến từ Tiệm bánh kẹp
product_egg_sandwich_description,Được chế biến từ Tiệm bánh kẹp
product_frutti_di_mare_pizza_description,Được sản xuất từ Lò bánh mỳ
product_chocolate_popcorn_description,Được sản xuất từ Xe bắp rang
product_fish_and_chips_description,Được sản xuất từ Lò nướng BBQ
product_fish_pie_description,Được sản xuất từ Máy nướng bánh
product_red_scarf_description,Được sản xuất từ Máy dệt
product_strawberry_jam_description,Được sản xuất từ Máy làm mứt
product_lobster_description,Được sản xuất từ Máy hấp tôm
Text_time_second,giây,second,detik
Text_time_minute,phút,minute,menit
Text_time_hour,giờ,hour,jam
Text_time_day,ngày,day,hari
Text_You_Have,Bạn có :,You have :,Anda punya
Text_can_not_move,Không thể di chuyển,Not enough space here,Tak bisa digerakkan
Text_can_not_place,Không thể đặt,Not enough space here,Tak bisa ditempatkan
Text_full_ware_house,Nhà kho đầy,Warehouse is full,Gudang penuh
Text_unlock_at,Mở tại cấp,Unlock at,Buka pada tingkat
Text_place_pet,Đặt con vật tại chuồng tương ứng,Animal needs a different pen,Menempatkan ternak pada kandang yang sesuai
Text_full_pet,"Chuồng đã đầy vật nuôi, không đặt thêm được",Pen is full,"Gudang sudah penuh ternak, tidak bisa tambah"
Text_out_money,Bạn không đủ tiền vàng,Not enough gold,Anda tidak punya cukup emas
Text_guide_order_table,Hãy chọn các đơn hàng phía bên trái bảng,Select an order from the left,Pilihlah pesanan di sebelah kiri atas papan
Text_info_crop_last,"Đây là hạt giống duy nhất trong kho lương thực, bạn có muốn sử dụng không?","This is the last crop of this type, use anyway?","Inilah bibit satu-satunya di gudang pangan, Anda ingin menggunakannya?"
Text_info_up_level,Nông trại bạn đạt cấp,Your Farm is now level,kebun Anda mencapai tingkat
Text_talk_info_npc_1_1,Kinh doanh tốt chứ bạn.Tôi đang cần mua vài món,"Good business, yes ? I want to buy a few stuff:","Bisnis kamu bagus?, saya ingin membeli beberapa barang"
Text_talk_info_npc_1_2,Bạn bán cho tôi món này nhé,Please I want to get these:,Kamu jual barang ini kepada saya yah
Text_change_game_zing_popup,"Tài khoản %SOCIAL% đang có game Farmery cũ tên: %NAME%, level: %LEVEL%, bạn có muốn chơi game cũ hay game hiện tại?","Your Facebook account linked to Farm name: %NAME%, level: %LEVEL%, Do you want to recover this Farm, or use the current Farm ?","Account Facebook sudah ada game Farmery lama dengan nama %NAME% ,%LEVEL%, Anda ingin main game lama atau game baru?"
Text_load_old_game_cmd,Lấy lại game cũ,Recover my old Farm,Main game lama
Text_keep_current_game_cmd,Tiếp tục chơi game mới,Keep current Farm,Terus main game baru
title_tut_2,THU HOẠCH,HARVESTING,memanen
title_tut_5,GIEO HẠT,PLANTING,menyebar bibit
title_tut_12,LẤY TRỨNG,HARVESTING,ambil telur
title_tut_15,MUA 1 CON GÀ,BUY A CHICKEN,beli satu ekor ayam
title_tut_18,CHO GÀ ĂN,FEED A CHICKEN,kasih makan ayam
title_tut_24,SẢN XUẤT BÁNH MÌ,PRODUCE BREAD,produksi roti
title_tut_31,DI CHUYỂN,MOVE FARM AROUND,bergerak
title_tut_9,HẠT GIỐNG LỚN,GROWING CROPS,bibit besar
text_intro_tut_1,Xin chào chủ nông trang mới. Tôi tên là Gà Tồ. Tôi sẽ giúp bạn làm quen với công việc của nông trang này nhé!,Hello dear farmer. I am Chicken. Let me help you out with these farm stuff !,"Salam pemilik kebun baru. Nama saya Ayam Konyol, Saya akan membantu Anda mencaritahu pekerjaan di kebun ini yah"
text_intro_tut_2,Hãy xem kĩ cách hướng dẫn thu hoạch sau nhé!,Please see how we harvest the crops !,Perhatikan instruksi pemanenan nanti yah
text_intro_tut_5,"Giờ là cách gieo hạt: Hãy chọn 1 ô ruộng, lấy hạt giống và gieo hạt nhé !","Now the seeding part: select a farm slot, pick and plant a seed !","Sekarang adalah cara menyebar bibit, pilihlah satu petak sawah, ambil bibit dan menyebarkannya yah"
text_intro_tut_7,Bây giờ hãy chờ hạt giống phát triển. Mỗi ô ruộng khi thu hoạch sẽ cho bạn 2 hạt giống.,Wait for the crop to grow. One farm slot gives two crops!,"Sekarang tunggu bibit tumbuh, setiap petak akan menghasilkan 2 bibit"
text_intro_tut_8,Thật tuyệt! Bạn nên trở thành một chủ trang trại sớm hơn! Bạn học mọi thứ rất nhanh. Đây là phần thưởng cho bạn.,Amazing ! You learn so fast. You gonna be a terrific farmer soon! Please accept this gift.,"Luar biasa! Anda mestinya menjadi pemilik kebun lebih awal! Anda belajar sangat cepat, inilah hadiah untuk Anda"
text_intro_tut_9,Bây giờ là đến phần vật nuôi. Bạn hãy nhớ mỗi vật nuôi sẽ ở trong 1 chuồng nhất định.,Now for the farm animals. They need their own pens. Now I will show you how to harvest!,"Sekarang ialah bagian ternak, ingat setiap ternak ditempatkan di satu kandang sendiri, sekarang adalah cara mendapat hasil ternak"
text_intro_tut_13,Bây giờ sẽ là cách thu hoạch vật nuôi.Hãy kéo chiếc giỏ qua những con gà để thu hoạch trứng.,Use the basket to pickup the eggs,Menarik kantong lewat ayam untuk ambil telur
text_intro_tut_16,Bạn cần mua thêm vật nuôi? Chạm vào biểu tượng cửa hàng góc trái màn hình để mua.Kéo con gà cần mua từ cửa hàng thả vào chuồng nhé!,"More farm animals can be purchased by using the shop in the left corner. Move the chicken to the pen, shall we?","Anda ingin membeli ternak lagi, sentuh lambang toko di pojok kiri layar untuk membeli, tarik ayam yang ingin Anda beli dan lepaskan ke kandang Anda yah"
text_intro_tut_19,Bây giờ bạn cho gà ăn bằng cách chọn vào chuồng rồi kéo thức ăn qua những con gà đang đói nhé !,"Now we feed the chicken by select the pen, then drag the chicken food to the chicken!",Sekarang Anda kasih ayam makan dengan cara pilih kandang dan tarik pakan lewat ayam yang sedang lapar
text_intro_tut_21,Nông sản bạn thu được có thể đem chế biến thành nhiều món ăn ngon. Hãy thử 1 chiếc bánh mì mới ra lò xem.,Crops can be used as ingredients to produce excellent food. Let’s make a bread !,Hasil pertanian yang diperoleh bisa diolah menjadi banyak masakan yang enak. Cobalah satu roti yang baru jadi ini
text_intro_tut_22,Bây giờ chúng ta sẽ học cách làm bánh.,Let’s make a bread,Sekarang kita akan belajar cara membuat kue
text_intro_tut_25,Sản phẩm chế biến sẽ được nhiều người mua hơn đấy.Còn rất nhiều máy sản xuất trong cửa hàng để bạn mua thêm.,Food makes excellent sales. There are many more machines to be purchased in the shop!,Produk olahan akan mendapat lebih banyak pelanggan. Masih ada sangat banyak mesin produksi di toko untuk Anda
text_intro_tut_27,Trang trại cũng có máy xay thức ăn cho vật nuôi đấy. Bạn cùng tôi đến thu hoạch những gói thức ăn đã xay xong nhé !,There is a Feed Mill in the farm! Let get some animal food from there!,Di kebun juga ada mesin penggiling pakan untuk ternak. Marilah bersama saya mengambil kantong pakan yang sudah selesai dibikin
text_intro_tut_28,Để chắc chắn rằng vật nuôi của bạn không bao giờ bị bỏ đói. Tôi sẽ tặng bạn 1 máy xay thức ăn cho vật nuôi. Hãy cùng đi xem nhé.,"The chicken seems hungry, let’s go and check the Feed Mill out!",Untuk memastikan bahwa ternak Anda tidak kelaparan. Saya akan kasih Anda 1 mesin penggiling pakan. Ayo kita melihatnya
text_intro_tut_30,Khi lên cấp bạn có thêm ô ruộng để trồng trọt. Hiện giờ bạn có thêm 3 ô đất trong cửa hàng. Hãy vào cửa hàng để lấy chúng ra nhé.,You get more farm slots when you level up! Now we have three more slots waiting in the shop!,"Ketika naik level, Anda akan mendapat tambahan petak untuk penanaman. Sekarang Anda dapat 3 petak tanah lagi. Marilah kita ke toko untuk mengambilnya"
text_intro_tut_32,Bạn còn nhớ cách gieo hạt giống chứ? Hãy gieo thêm nhiều hạt giống nào.,"Dear farmer, do you still remember how to plant a seed? Let’s plant some more!",Anda masih ingat cara menyebar bibit? Menyebarkan lebih banyak lagi yah
text_intro_tut_34,Bạn có thể di chuyển mọi thứ trong trang trại của mình và đặt chúng ở nơi bạn muốn. Đây là cách di chuyển.,You can move stuff around your Farm. This is how we do it:,Anda bisa memindahkan semua barang dalam kebun dan tempatkannya di tempat yang diinginkan. Inilah cara memindahkannya
text_intro_tut_36,"Có khách ghé thăm, hỏi thăm anh ấy xem có việc gì ?","Ahh, we have a guest, let’s ask him what’s up !","Ada tamu lewat, tanyakan ada apa yah"
text_intro_tut_38,"Xe giao hàng tới rồi,chiếc xe này sẽ giúp chúng ta giao các đơn hàng ở các nơi.","Truck has arrived, this may be handy for us to deliver our crops!","Mobil barang sudah tiba, mobil ini akan membantu kita mengirim barang pesanan ke semua tempat"
text_intro_tut_39,Đây là nơi nhận các đơn hàng cần được giao. Bạn hãy làm theo các đơn đặt hàng này để kiếm thêm thu nhập cho trang trại nhé.,This is where we received orders! Let’s complete these orders and earn income for our Farm!,Ini tempat menerima pesanan yang perlu dikirim. Kirimkan barang pesanan untuk mendapat pendapatan tambahan yah
text_intro_tut_41,"Xe đang trên đường đến địa điểm giao hàng rồi, Khi xe quay lại mang theo phần thưởng về. Hãy chạm vào xe để lấy phần thưởng dành cho bạn","The truck is delivering our crops. When the truck comes back, touch the coins to earn them!",Mobil sedang menuju ke tempat pesanan. Ketika pulang akan membawa hadiah. Sentuh mobil untuk mendapat hadiah Anda
text_intro_tut_finish,Và đấy là những công việc đơn giản của một chủ nông trang. Cũng đơn giản mà phải không. Chúc bạn có những thời gian vui vẻ nhé.,These are works of professional farmers I knew ! Wish you have a good and happy time with your Farm!,Dan semua pekerjaan sederhana ini akan dilakukan seorang pemilik kebun. Sederhana bukan. Selamat bermain
fruit_apple_description,Thu hoạch từ cây Táo,Harvest from Apple tree,Hasil panenan buah apel
fruit_raspberry_description,Thu hoạch từ bụi Mâm xôi,Harvest from Raspberry tree,Hasil panenan dari pohon raspberry
fruit_cherry_description,Thu hoạch từ cây Anh Đào,Harvest from Cherry tree,Hasil panenan dari pohon ceri
fruit_blackberry_description,Thu hoạch từ bụi Phúc Bồn Tử,Harvest from Blackberry tree,Hasil panenan dari pohon Blackberry
fruit_cacao_description,Thu hoạch từ cây Ca Cao,Harvest from Cacao tree,Hasil panenan dari pohon kopi
fruit_coffee_description,Thu hoạch từ bụi Cà Phê,Harvest from Coffee tree,
fruit_lemon_description,Thu hoạch từ cây Chanh,Harvest from lemon tree,Memetik dari Pohon Lemon
fruit_olive_description,Thu hoạch từ cây Oliu,Harvest from olive tree,Memetik dari Pohon Zaitun
text_intro_tut_50,Bây giờ là đến phần vật nuôi. Bạn hãy nhớ mỗi vật nuôi sẽ ở trong 1 chuồng nhất định. Bây giờ bạn hãy mua cho mình mấy con gà nhé!
text_intro_tut_51,"Để mua vật nuôi. Bạn hãy chạm vào biểu tượng cửa hàng ở góc trái dưới màn hình điện thoại, vào phần vật nuôi để mua. Kéo vật nuôi cần mua ra khỏi cửa hàng và thả vào chuồng của chúng."
text_intro_tut_52,"Các con gà cần thời gian để đẻ trứng, nhưng khi bạn cần thu hoạch trứng ngay thì hãy ấn vào nút Rubi để thu hoạch ngay nhé!"
text_intro_tut_53,Đó là cách bạn mua thêm vật nuôi. Bây giờ bạn hãy cho gà ăn bằng cách chọn vào chuồng rồi thả thức ăn vào những con gà đang đói nhé!
text_intro_tut_54,Để có ngay bánh mì mà không cần chờ đợi thì bạn hãy nhấn vào nút rubi bên dưới để hoàn thành ngay nhé.
text_intro_tut_55,Bây giờ việc cuối cùng của bạn là đặt tên cho trang trại của mình. Hãy chọn cái tên thật hay và độc đáo nhé!
text_intro_tut_56,Nông sản bạn thu được có thể đem chế biến thành nhiều món ăn ngon. Bây giờ chúng ta sẽ học cách làm bánh.
text_intro_tut_57,Bánh mì chín hết rùi. Hãy thử chiêc bánh mì mới ra lò xem sao nha!
text_disconnect,Mất liên lạc với trang trại,Lost contact with Farm,Kehilangan kontak dengan kebun
text_unlock,Có tại cấp,Unlock at,Muncul di level
text_detail_have_item_upgrade,"Vật phẩm nâng cấp có được từ thu hoạch cây trồng,nhà máy,vật nuôi ...","Items can be found when harvesting crops, machines, animals...","Barang upgrade diperoleh dari hasil panenan pohon, pabrik, ternak"
text_wait_order_come_back,"Đợi hết thời gian chờ hoặc tăng tốc bằng ruby, đơn hàng tiếp theo sẽ đến nha bạn.",Wait for the count down or use ruby to speed up the next order,"Menunggu sampai habis waktu tunggu atau mendorong kecepatan dengan ruby, pesanan berikutnya akan tiba dirumah Anda"
text_loading,Đang kết nối...,Connecting to Farm...,Sedang menghubungkan
text_coming_soon,Sắp ra mắt!,Coming soon!,Segera diluncurkan
txt_not_input_enough_user_pass,Bạn chưa nhập tài khoản hoặc mật khẩu!,Please input username or password!,Anda belum memasukkan ID atau password
txt_waiting,Xin chờ...,Please wait...,Tunggu sebentar yah
text_can_not_login,Tài khoản đăng nhập không đúng!,Username or password incorrect,ID tidak benar
txt_cant_connect_to_server,Không kết nối được với server!,Lost contact with Server!,Tidak bisa menghubungkan dengan server
text_try_cmd,Thử lại,Try again,Coba lagi
text_exit_game_cmd,Thoát game,Quit Farm,Keluar
text_exit_game_alert,Bạn có muốn thoát game?,Do you want to quit game?,Apa Anda ingin keluar game?
text_to_use_gem,Để thực hiện hành động,To proceed now,Untuk melakukan tindakan
text_create_new_sale,Bán\nvật phẩm,Sell\nitems,Menjual/ barang
text_edit_road_shop,Sửa đồ bán,Edit items,Mereparasi barang jualan
text_sold,Đã bán!,Sold!,Sudah dijual
text_some_one_bought_item,"Xin lỗi, đã có người mua sản phẩm này","Sorry, item have been bought","Maaf, sudah ada orang lain yang membeli barang ini"
text_not_enough_level_road_shop,Cần level %LEVEL%!,Require level %LEVEL%!,Butuh level %LEVEL%
title_gui_exchange_rubi,ĐỔI RUBI,Get Ruby,Tukar Rubi
title_gui_exchange_money,ĐỔI VÀNG,Get Gold,Tukar Emas
title_item_bag_gem_1,Túi nhỏ,Medium bag,Kantong kecil
title_item_bag_gem_2,Túi vừa,Large bag,Kantong sedang
title_item_bag_gem_3,Túi lớn,Huge bag,Kantong besar
text_upgrade_success,NÂNG CẤP THÀNH CÔNG,Upgrade Success !,Upgrade sukses
text_need_level_unlock_road_shop,Cửa hàng sẽ được mở ở level 7!,Shop unlocks at level 7!,Toko akan dibuka pada level 7
text_need_level_unlock_newspaper,Tờ báo sẽ được mở ở level 7!,Newspaper unlock at level 7!,Koran akan dibuka pada level 7
text_upgrade_storage_later,Hiện tại chưa thể nâng cấp tiếp !,Upgrade currently unavailable!,Sekarang belum bisa upgrade lagi
text_btn_back,Trở về,Back,kembali
text_btn_upgrade,Nâng cấp kho,Upgrade !,mengupgrade gudang
text_btn_deleiver_npc,Đồng ý bán!,Here you are,Sejutu menjual!
text_btn_delete_npc,Xin lỗi tôi bán hết rùi!,Sorry I am out of this,Maaf saya sudah juga semua
text_btn_later_npc,Xin chờ một chút!,Please wait a moment,Tunggu sebentar yah!
text_notification_all_crop_ready,Đến giờ thu hoạch cây trồng rồi bạn ơi,Crops are ready to harvest!,Sudah sampat saat panenan pohon
text_notification_chicken_ready,Các con gà đã đẻ trứng!,Eggs are ready to pickup!,Ayam-ayam sudah bertelur
text_notification_cow_ready,Các con bò đang chờ bạn lấy sữa!,Milk bottles are ready to collect!,Sapi-sapi sedang menunggu diambil susu
text_notification_pig_ready,Thu hoạch thịt heo nào!,Bacon is ready!,Ayo ambil daging babi
text_notification_sheep_ready,Thu hoạch lông cừu nào!,Sheeps are waiting for you!,Ayo ambil rambut domba
text_notification_building_contruction_ready,%NAME% đã xây xong. Bạn vào khai trương nào,%NAME% is ready. Let’s have a grand opening,%NAME% telah dibangun. Anda masuk meresmikannya yah
text_notification_player_please_come_back,Các con vật nuôi đang rất nhớ bạn!,The farm animals are missing you so much!,Ternak sangat rindu Anda
text_detail_confirm_exchange_gem,Bạn muốn mua %RUBI% ruby với giá %TIEN% đồng ?,Do you want to buy %RUBI% ruby by the price of %TIEN% ?,Apa Anda ingin membeli %RUBI% dengan harga VND %Uang%
text_detail_confirm_exchange_gold,Bạn muốn mua %GOLD% vàng với giá %TIEN% đồng ?,Do you want to buy %GOLD% gold by the price of %TIEN% đồng ?,Apa Anda ingin membeli %Emas% dengan harga VND %Uang%
text_btn_vote_farmery,BÌNH CHỌN,Vote!,Pilih
text_btn_cancel_vote,BỎ QUA,Not now!,Lewat
text_title_vote_farmery,Bình chọn nhận quà,Vote for Farmery,Pilih untuk memperoleh kado
text_detail_vote_farmery,Hãy bình chọn cho FARMERY để nhận ngay phần quà tặng hấp dẫn!,Feeling good? Let’s vote for Farmery,Pilih-lah FARMERY untuk mendapat kado yang menarik
text_note_vote_farmery,Cơ hội chỉ có một,The only chance,Kesempatan hanya satu saja
text_update_version_alert,Game có phiên bản cập nhật mới!,Farmery has a fresh update !,Ada update baru
text_update,Cập nhật,Update now!,Update
text_unlock_mine,"Mỏ sản xuất các nguyên liệu kim loại\n và rubi, được mở tại cấp","Mine produces ore\n and ruby, unlock at level",Tambang berbagai jenis logam dan rubi dibuka pada level
title_gui_ticket_table,Vé của bạn,Your current tickets,Tiket Anda
title_detail_gui_ticket_table,Vé có được khi bán đơn hàng màu xanh và được dùng để đổi các vật phẩm đặc biệt.,"Tickets found when complete green order, used to exchange for special items!",Tiket diperoleh ketika menjual pesanan warna hijau dan digunakan untuk tukar barang-barang khas
text_can_not_login_by_socket_server,Có sự cố khi kiểm tra thông tin đăng nhập!\nXin thử lại!,Error found when trying to login!\nPlease try again!,Ada masalah dalam pemeriksaan informasi akses! Silakan coba lagi
advertise_3h,Quảng cáo trong\n3 tiếng,Advertise for\n3 hours,Iklan dalam waktu 3 jam
time_ads_free_left,Miễn phí quảng cáo:\n,Free advertising:\n,Iklan gratis
text_create_advertisement,Đăng tin,Post now,Memuat berita
text_select_type_card,Chọn loại thẻ nạp!,Select card types!,Pilih jenis voucher
text_process_send_card,Đang gửi thông tin thẻ nạp!,Sending card information!,Sedang mengirim informasi voucher
text_wait_process_card,Xin đợi xử lý xong thông tin thẻ nạp trước!,Please wait for card processing,Tolong tunggu sampai informasi voucher diproses
text_card_payment_success,Nạp thẻ thành công!,Top up success!,pengisian voucher sukses
text_card_payment_unsuccess,"Nạp thẻ không thành công, xin vui lòng thử lại!","Top up unsuccessful, please try again","pengisian voucher gagal, silakan coba lagi"
text_header_card_payment,NẠP THẺ CÀO,CARD TOP UP,Mengisi voucher
text_btn_register_facebook,FACEBOOK - ĐĂNG NHẬP,FACEBOOK - LOGIN,FACEBOOK - Akses
text_btn_out_facebook,FACEBOOK - ĐĂNG XUẤT,FACEBOOK - LOGOUT,FACEBOOK - Keluar
text_change_name_farmery,ĐỔI TÊN NÔNG TRẠI,CHANGE FARM NAME,Mengubah nama kebun
text_info_error_of_user,BÁO LỖI - GÓP Ý,REPORT ISSUES,Lapor eror - sumbangan pendapat
mine_name,Mỏ kim loại,Mine,Tambang logam
text_not_enough_money_repair_mine,Bạn không đủ tiền để sửa chữa mỏ !,Not enough gold to repair old mine!,Anda tidak cukup uang untuk memperbaiki tambang
text_store_item_shop,Trong kho:,In stock:,Dalam gudang
deco_ban_an_name,Bàn Ăn,Dinning table,Meja makan
deco_ban_an_detail_tab,,,
deco_bu_nhin_rom_name,Bù Nhìn Rơm,Scarecrow,orang-orangan sawah
deco_bu_nhin_rom_detail_tab,,,
